Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
9,147,0.0,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333
9,148,0.0,0.0785,0.0,0.06699,0.48879,0.08289,0.23835
9,149,0.0,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386
9,150,0.0,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657
9,151,0.0,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165
9,152,0.0,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747
8,153,0.0,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651
9,154,0.0,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628
9,155,0.0,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826
5,156,0.0,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179
9,157,0.0,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727
9,158,0.0,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681
